time,tau_h,r_react,theta_m,theta_act,V_cmd,Kp,Kr,Kd
2.435,0.0,0.6953439231486592,0.5750612978818891,0.6366199920422374,0.054807904872377966,6.284841669757416,6.257471098060353,0.4604277783366983
2.44,0.0,0.6976268234296366,0.578225682933514,0.639780834841143,0.05308392658103728,6.281846930696823,6.254208889624762,0.460343489066512
2.445,0.0,0.6998654772378213,0.5813777289657371,0.6428961107512537,0.051405907161196696,6.278854319462936,6.250947664865854,0.4602570523715828
2.45,0.0,0.7020603059738066,0.5845162768372582,0.6459655182709647,0.0497729606238696,6.275863745144792,6.247687498226606,0.4601683834181999
2.455,0.0,0.7042117450282136,0.5876402085921044,0.648988812888324,0.048184180234306706,6.27287511786425,6.244428463577647,0.46007740540535425
2.46,0.0,0.7063202427338776,0.5907484472568205,0.651965804302443,0.0466386438501023,6.269888348893156,6.241170634126033,0.45998404936239146
2.465,0.0,0.7083862593600714,0.5938399565853232,0.6548963537177821,0.04513541873857613,6.266903350763159,6.237914082328136,0.4598882539293997
2.47,0.0,0.7104102661474674,0.5969137407548809,0.6577803712140351,0.04367356590390897,6.2639200373681945,6.234658879806693,0.4597899651228216
2.475,0.0,0.7123927443825756,0.599968844016552,0.6606178131937323,0.04225214395432442,6.260938324059724,6.231405097272059,0.4596891360886367
2.48,0.0,0.7143341845104223,0.6030043503032908,0.6634086799091321,0.040870212539171724,6.2579581277348115,6.228152804447688,0.4595857268453146
2.485,0.0,0.7162350852842684,0.6060193827988081,0.6661530130694696,0.03952683538526219,6.254979366917163,6.224902069999831,0.4594797040185944
2.49,0.0,0.7180959529511948,0.6090131034701546,0.6688508935291728,0.038221082961040015,6.252001961831258,6.221652961471474,0.4593710405699991
2.495,0.0,0.7199173004724139,0.6119847125668721,0.6715024390572516,0.03695203479639317,6.249025834469738,6.218405545220468,0.4592597155208519
2.5,0.0,0.721699646777194,0.6149334480894437,0.6741078021876916,0.03571878148494381,6.246050908654205,6.215159886361842,0.45914571367341783
2.505,0.0,0.7234435160493135,0.6178585852296579,0.6766671681503603,0.03452042639465672,6.243077110089632,6.21191604871425,0.45902902533066114
2.5100000000000002,0.0,0.7251494370449875,0.6207594357853888,0.6791807528816398,0.0333560871114951,6.240104366412574,6.208674094750498,0.4589096460159716
2.515,0.0,0.7268179424412418,0.6236353475521864,0.6816488011137489,0.03222489663973502,6.2371326072333755,6.205434085552094,0.4587875761940895
2.52,0.0,0.7284495682137304,0.6264857036939581,0.6840715845414906,0.031126004381362676,6.234161764172604,6.202196080767747,0.4586628209943344
2.525,0.0,0.7300448530430236,0.6293099220949252,0.6864494000649737,0.030058576915772323,6.231191770891915,6.198960138575751,0.45853538993712795
2.5300000000000002,0.0,0.7316043377484177,0.6321074546949293,0.6887825681066906,0.029021798599767223,6.228222563119582,6.195726315650151,0.45840529666468915
2.535,0.0,0.7331285647483434,0.6348777868100667,0.6910714310012003,0.02801487200665953,6.225254078670913,6.192494667130613,0.4582725586766791
2.54,0.0,0.7346180775464741,0.6376204364405312,0.6933163514555479,0.02703701822204757,6.222286257463787,6.189265246595898,0.4581371970714714
2.545,0.0,0.7360734202426611,0.6403349535674547,0.6955177110784668,0.026087477012667476,6.219319041529536,6.186038106040844,0.4579992362936352
2.5500000000000003,0.0,0.7374951370678446,0.6430209194404368,0.6976759089763345,0.025165506883534,6.216352375019413,6.182813295856736,0.45785870388813166
